Jurisdictional Reference,Type,Description
"Right of Children to Free and Compulsory Education Act,2009,Section no 3,Subsection No 1",Educational,Every child of the age of six to fourteen years shall have a right to free and compulsory education in a neighbourhood school till the completion of his or her elementary education.
"Right of Children to Free and Compulsory Education Act,2009,Section no 12,Subsection no 1",Educational,"A school specified in sub-clause (ii) of clause (n) of section 2 shall admit in class I, to the extent of at least twenty-five per cent of the strength of that class, children belonging to weaker section and disadvantaged group in the neighbourhood and provide free and compulsory elementary education till its completion."
"Right of Children to Free and Compulsory Education Act,2009, Section no 17,",Educational,No child shall be subjected to physical punishment or mental harassment.
"Right of Children to Free and Compulsory Education Act,2009,Section no 19,",Educational,"The appropriate Government and the local authority shall ensure that the following norms and standards are specified in respect of a school, namely: (a) infrastructure including school building, teaching staff and learning equipment; (b) the teacher-pupil ratio; (c) library-cum-reading room; (d) playground; (e) boundary wall; (f) residential school; and (g) such other norms and standards as may be prescribed."
"Right of Children to Free and Compulsory Education Act,2009,Section 24,",Educational,"The appropriate Government and the local authority shall provide free and compulsory education to all children of the age of six to fourteen years in such manner as the State Government may, by notification, specify."
"Right of Children to Free and Compulsory Education Act,2009,Section no 27",Educational,"No school or person shall, while admitting a child, collect any capitation fee and subject the child or his or her parents or guardian to any screening procedure."
"Right of Children to Free and Compulsory Education Act,2009,Section no 29",Educational,No child shall be denied admission in a school for lack of age proof
"Right of Children to Free and Compulsory Education Act,2009,Section no 33",Educational,"Not with standing anything contained in section 3, section 12 or section 15, a school specified in sub-clause (iv) of clause (n) of section 2 shall ensure admission of children belonging to weaker section and disadvantaged group in the neighbourhood and provide free and compulsory elementary education till its completion."
"Right of Children to Free and Compulsory Education Act,2009,Section no 35",Educational,"A child admitted in a school under this Act shall have the right to seek transfer to any other school, excluding the school specified in sub-clause (iv) of clause (n) of section 2, as his parent may deem necessary."
"Right of Children to Free and Compulsory Education Act,2009,Section no 37",Educational," Whoever contravenes the provisions of sub-section (2) of section 13, or section 14 or section 18, shall be punishable with fine which may extend to twenty-five thousand rupees for the first contravention and fifty thousand rupees for every subsequent contravention"
"Right of Children to Free and Compulsory Education Act,2009,Section no 38",Educational,No court shall take cognizance of an offence under this Act except on a complaint made by the local authority or any officer authorised in this behalf by the local authority.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 4",Educational,"(1) Subject to the provisions of sub-section (2), the appropriate Government and local authority shall have the duty to develop, promote and finance the elementary education and endeavour to provide access to schooling to all children in the age group of six to fourteen years."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 5",Educational,(1) Every child of the age of six to fourteen years shall have a right to free and compulsory education in a neighbourhood school till completion of his or her elementary education.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 6",Educational,"(1) For the purposes of this Act, the term 'parent' or 'guardian', in relation to a child, means the person who is primarily responsible for the care and welfare of the child and may include natural or adoptive or foster parents or guardians having the actual charge and control over the child."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 7",Educational,"The appropriate Government and the local authority shall provide free and compulsory education to all children of the age of six to fourteen years in such manner as the State Government may, by notification, specify."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 8",Educational,"(1) The parent or guardian of every child of the age of six to fourteen years shall admit the child in a neighbourhood school or in a school established, owned or controlled by the appropriate Government or the local authority, as the case may be."
